prof_id,class_id,course_eval,prof_eval,rank,ethnicity,gender,language,age,cls_perc_eval,cls_did_eval,cls_students,cls_level,cls_profs,cls_credits,bty_avg,pic_outfit,pic_color
1,1,4.3,4.7,tenure track,minority,2,english,36,55.81395,24,43,upper,single,multi credit,5,not formal,color
1,2,3.7,4.1,tenure track,minority,2,english,36,68.8,86,125,upper,single,multi credit,5,not formal,color
1,3,3.6,3.9,tenure track,minority,2,english,36,60.8,76,125,upper,single,multi credit,5,not formal,color
1,4,4.4,4.8,tenure track,minority,2,english,36,62.60163,77,123,upper,single,multi credit,5,not formal,color
2,5,4.5,4.6,tenured,not minority,1,english,59,85,17,20,upper,multiple,multi credit,3,not formal,color
2,6,4,4.3,tenured,not minority,1,english,59,87.5,35,40,upper,multiple,multi credit,3,not formal,color
2,7,2.1,2.8,tenured,not minority,1,english,59,88.63636,39,44,upper,multiple,multi credit,3,not formal,color
3,8,3.7,4.1,tenured,not minority,1,english,51,100,55,55,upper,single,multi credit,3.333,not formal,color
3,9,3.2,3.4,tenured,not minority,1,english,51,56.92308,111,195,upper,single,multi credit,3.333,not formal,color
4,10,4.3,4.5,tenured,not minority,2,english,40,86.95652,40,46,upper,single,multi credit,3.167,not formal,color
4,11,3.5,3.8,tenured,not minority,2,english,40,88.88889,24,27,upper,single,multi credit,3.167,not formal,color
4,12,4.1,4.5,tenured,not minority,2,english,40,96,24,25,upper,multiple,multi credit,3.167,not formal,color
4,13,4.6,4.6,tenured,not minority,2,english,40,85,17,20,upper,single,multi credit,3.167,not formal,color
4,14,3.8,3.9,tenured,not minority,2,english,40,56,14,25,upper,single,multi credit,3.167,not formal,color
4,15,3.8,3.9,tenured,not minority,2,english,40,88.09524,37,42,upper,single,multi credit,3.167,not formal,color
4,16,3.8,4.3,tenured,not minority,2,english,40,90,18,20,upper,multiple,multi credit,3.167,not formal,color
4,17,4.2,4.5,tenured,not minority,2,english,40,83.33334,15,18,upper,multiple,multi credit,3.167,not formal,color
5,18,4.4,4.8,tenure track,not minority,2,english,31,87.5,42,48,upper,multiple,multi credit,7.333,not formal,color
5,19,3.9,4.6,tenure track,not minority,2,english,31,90.90909,40,44,upper,multiple,multi credit,7.333,not formal,color
5,20,4.5,4.6,tenure track,not minority,2,english,31,79.16666,38,48,upper,multiple,multi credit,7.333,not formal,color
5,21,4.5,4.9,tenure track,not minority,2,english,31,88.88889,40,45,upper,multiple,multi credit,7.333,not formal,color
5,22,4.4,4.6,tenure track,not minority,2,english,31,88.13559,52,59,upper,multiple,multi credit,7.333,not formal,color
5,23,4.4,4.5,tenure track,not minority,2,english,31,56.32184,49,87,upper,single,multi credit,7.333,not formal,color
6,24,4.2,4.4,tenured,not minority,1,english,62,64.53901,182,282,upper,multiple,multi credit,5.5,formal,color
6,25,4.4,4.6,tenured,not minority,1,english,62,54.79452,160,292,upper,multiple,multi credit,5.5,formal,color
6,26,4.5,4.7,tenured,not minority,1,english,62,60.76923,79,130,upper,multiple,multi credit,5.5,formal,color
6,27,4.3,4.5,tenured,not minority,1,english,62,61.75439,176,285,upper,single,multi credit,5.5,formal,color
6,28,4.6,4.8,tenured,not minority,1,english,62,56.98529,155,272,upper,multiple,multi credit,5.5,formal,color
6,29,4.8,4.9,tenured,not minority,1,english,62,58.04196,166,286,upper,multiple,multi credit,5.5,formal,color
6,30,4.3,4.5,tenured,not minority,1,english,62,61.58941,186,302,upper,single,multi credit,5.5,formal,color
7,31,4,4.4,tenure track,not minority,2,english,33,80.48781,33,41,upper,single,multi credit,4.167,not formal,color
7,32,4,4.3,tenure track,not minority,2,english,33,85.29412,29,34,upper,single,multi credit,4.167,not formal,color
7,33,4,4.1,tenure track,not minority,2,english,33,90.2439,37,41,upper,single,multi credit,4.167,not formal,color
7,34,3.9,4.2,tenure track,not minority,2,english,33,70.7317,29,41,upper,single,multi credit,4.167,not formal,color
7,35,3.3,3.5,tenure track,not minority,2,english,33,82.35294,28,34,upper,single,multi credit,4.167,not formal,color
8,36,3.4,3.4,tenured,not minority,2,english,51,60.97561,25,41,upper,multiple,multi credit,4,not formal,color
8,37,4.5,4.5,tenured,not minority,2,english,51,95.45454,21,22,upper,multiple,multi credit,4,not formal,color
8,38,4.5,4.4,tenured,not minority,2,english,51,61.90476,13,21,upper,multiple,multi credit,4,not formal,color
8,39,4.5,4.4,tenured,not minority,2,english,51,94.11765,16,17,upper,multiple,multi credit,4,not formal,color
8,40,2.5,2.5,tenured,not minority,2,english,51,80,24,30,lower,multiple,multi credit,4,not formal,color
8,41,4.3,4.3,tenured,not minority,2,english,51,100,23,23,upper,multiple,multi credit,4,not formal,color
8,42,4.5,4.5,tenured,not minority,2,english,51,100,20,20,upper,multiple,multi credit,4,not formal,color
9,43,4.5,4.8,tenure track,not minority,2,english,33,80,48,60,upper,multiple,multi credit,4.667,not formal,color
9,44,4.7,4.8,tenure track,not minority,2,english,33,87.87878,29,33,upper,single,multi credit,4.667,not formal,color
9,45,3.5,4.4,tenure track,not minority,2,english,33,25,11,44,upper,multiple,multi credit,4.667,not formal,color
9,46,4.5,4.7,tenure track,not minority,2,english,33,59.18367,29,49,upper,single,multi credit,4.667,not formal,color
9,47,3.8,4.4,tenure track,not minority,2,english,33,86.20689,25,29,upper,single,multi credit,4.667,not formal,color
9,48,4.5,4.7,tenure track,not minority,2,english,33,87.5,42,48,upper,multiple,multi credit,4.667,not formal,color
9,49,4.3,4.5,tenure track,not minority,2,english,33,85,34,40,upper,multiple,multi credit,4.667,not formal,color
10,50,3.9,4,teaching,not minority,1,english,47,84.21053,16,19,upper,single,multi credit,5.5,not formal,color
10,51,3.9,4.3,teaching,not minority,1,english,47,75,12,16,upper,multiple,multi credit,5.5,not formal,color
10,52,4.3,4.4,teaching,not minority,1,english,47,93.33334,14,15,upper,single,multi credit,5.5,not formal,color
10,53,4.2,4.5,teaching,not minority,1,english,47,95.65218,22,23,upper,single,multi credit,5.5,not formal,color
